step,reward,ret_so_far
0,-3.919547570018673,-3.919547570018673
1,-3.459233592357025,-7.378781162375698
2,-3.276001399742575,-10.654782562118273
3,-2.936751565138347,-13.591534127256619
4,-2.827106962756497,-16.418641090013114
5,-2.979079013126852,-19.397720103139967
6,-3.0639761422511467,-22.461696245391114
7,-3.140162298767258,-25.60185854415837
8,-3.1717533806768894,-28.77361192483526
9,-3.060130190607823,-31.833742115443084
10,-2.964709775253322,-34.798451890696406
11,-2.421819751895332,-37.22027164259174
12,-2.50088593522737,-39.72115757781911
13,-2.522863404281735,-42.24402098210085
14,-2.6068480188592735,-44.850869000960124
15,-2.7638788622469344,-47.61474786320706
16,-2.9783558297809862,-50.593103692988045
17,-3.0395532405820243,-53.63265693357007
18,-3.2513853510496027,-56.88404228461967
19,-3.5086660745728744,-60.39270835919254
20,-3.6218156116344717,-64.01452397082701
21,-3.779231252728836,-67.79375522355585
22,-3.8682188472473253,-71.66197407080317
23,-3.7079445962358646,-75.36991866703903
