step,reward,ret_so_far
0,-3.380824089050293,-3.380824089050293
1,-3.547593832015991,-6.928417921066284
2,-2.8544914722442627,-9.782909393310547
3,-2.7982802391052246,-12.581189632415771
4,-2.7386996746063232,-15.319889307022095
5,-2.6870827674865723,-18.006972074508667
6,-2.690499782562256,-20.697471857070923
7,-2.3797006607055664,-23.07717251777649
8,-2.2640926837921143,-25.341265201568604
9,-2.0255544185638428,-27.366819620132446
10,-2.0479018688201904,-29.414721488952637
11,-2.0204479694366455,-31.435169458389282
12,-2.089616060256958,-33.52478551864624
13,-2.0895373821258545,-35.614322900772095
14,-2.08750319480896,-37.701826095581055
15,-2.242696523666382,-39.94452261924744
16,-2.416043996810913,-42.36056661605835
17,-3.3987233638763428,-45.75928997993469
18,-3.653820037841797,-49.41311001777649
19,-3.8659400939941406,-53.27905011177063
20,-4.001420497894287,-57.28047060966492
21,-3.958954095840454,-61.23942470550537
22,-3.909215211868286,-65.14863991737366
23,-3.6359546184539795,-68.78459453582764
